action_type,combined_shot_type,minutes_remaining,period,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range
Jump Shot,Jump Shot,10,1,22,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,7,1,45,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,1,52,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Driving Dunk Shot,Dunk,6,2,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,9,3,32,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Layup Shot,Layup,8,3,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,3,12,12,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Running Jump Shot,Jump Shot,3,3,36,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,1,3,56,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,1,0,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,7,1,9,12,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,2,1,44,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,1,16,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,0,1,48,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,2,50,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,29,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,3,8,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,9,3,4,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,7,3,57,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Running Jump Shot,Jump Shot,5,3,47,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,5,3,11,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Layup Shot,Layup,2,3,36,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
